Date,AAPL,AMZN,GOOGL,META,MSFT
2020-02-29,-0.11470164406592764,-0.06221372013363058,-0.0652786668863361,-0.04675351528002458,-0.04568825823738398
2020-03-31,-0.06976155281971586,0.035020571318223226,-0.1323875523831909,-0.13337142414993708,-0.026541358898120704
2020-04-30,0.155373947912123,0.2689001176660717,0.15899994425443453,0.22727819525486437,0.13632594581652735
2020-05-31,0.0850942482474415,-0.012784941240091774,0.06446875290698229,0.09955541476049823,0.025391345854770986
2020-06-30,0.14738621245302186,0.12956672853391127,-0.010791703464830271,0.008796530359153953,0.11055929715888846
2020-07-31,0.16513172202896476,0.1471136218500213,0.04929308454707093,0.11714444878995467,0.007370561108627438
2020-08-31,0.21656919534108954,0.09046103369298208,0.09515107990839078,0.1558324371168196,0.10275191886750834
2020-09-30,-0.10252630447319755,-0.08757859185260553,-0.10059959053450007,-0.10675312758324729,-0.06739659566978184
2020-10-31,-0.060012092599939115,-0.03575408533520552,0.1026951086501593,0.004620051482537857,-0.037369955613543504
2020-11-30,0.09549325416577248,0.043439868865324804,0.08556973632604303,0.0526776505673896,0.060060524423173556
2020-12-31,0.1145737114910832,0.028058383014484267,-0.001003162737105212,-0.013755993579816495,0.03900576365192232
2021-01-31,-0.005501549966130281,-0.01557601223652838,0.042632739984374224,-0.05429058753487215,0.04289199919741837
2021-02-28,-0.07971202608739691,-0.03532841376742368,0.10646507878480804,-0.0027483896256058626,0.004117917261182491
2021-03-31,0.007339591063872941,0.00037178414851712915,0.020084992674775926,0.14327305473831542,0.014588174351022776
2021-04-30,0.07621782788210085,0.12066273709568343,0.14107987974489178,0.10372453712554108,0.06960168744196471
2021-05-31,-0.050497139523343004,-0.07047025525869377,0.0014233755954558003,0.011228080979543975,-0.00762729794536654
2021-06-30,0.09910922575646963,0.06735498737093981,0.03603964352371114,0.05773729149888718,0.08498886208213641
2021-07-31,0.06498247549825997,-0.032722282722282725,0.10350604264392183,0.02470448520027757,0.051716490271348725
2021-08-31,0.0424893207842878,0.043034169499993835,0.0740091439589119,0.06477692360532616,0.061591080607975135
2021-09-30,-0.0680365872887505,-0.05351810876292584,-0.07616925000224084,-0.10540879782720125,-0.06611899857369019
2021-10-31,0.05865726686641315,0.02660245759664326,0.10749881001165451,-0.0466130606128945,0.1762912308726079
2021-11-30,0.1050816510845165,0.039923701306487036,-0.04153099926481674,0.0027505149139721574,-0.0012821879776583334
2021-12-31,0.07803980928749099,-0.03825985577577795,0.030324660905360012,0.06133265863455328,0.026407393158219605
