Asset,Beta,Expected Return
AAPL,1.0264216563605941,0.2299256387803574
GOOGL,0.8917860364105036,0.20107801603523595
MSFT,0.8482280660563036,0.19174509286982888
AMZN,0.5478607898954871,0.12738707326937682
META,0.9852009552494757,0.22109350924893206
